Name,Name PGP
David b. Ḥayyun,David b. Ḥayyun
David b. Ḥusayn,David b. Ḥusayn
David b. Isaac b. ʿEli,David b. Yiṣḥaq b. ʿEli
David b. Joseph Qimḥi,David b. Yosef Qimḥi
David b. Joseph Qimḥī,David b. Yosef Qimḥī
David b. Joshua Maimonides,David b. Yehoshuaʿ Maimonides
David b. Moses Bonfat the Spaniard,David b. Moshe Bonfat the Spaniard
David b. Naʿīm,David b. Naʿīm
David b. ʿAmmār Madīnī,David b. ʿAmmār Madīnī
David Badūssī,David Badūssī
David Beḥor,David Beḥor
David ha-Nagid,David ha-Nagid
David ha-Nasi,David ha-Nasi
David Kimḥi,David Kimḥi
David Kohen,David Kohen
David Maimonides,David Maimonides
David Maymun,David Maymun
David Nasi,David Nasi
David Nasi ha-Gola,David Nasi ha-Gola
Dawūd,Dawūd
Dāwūd b. Marwān al-Muqammiṣ,Dāwūd b. Marwān al-Muqammiṣ
Dawūd ibn Abī al-Bayān,Dawūd ibn Abī al-Bayān
Dāwūd ibn Abī al-Bayān,Dāwūd ibn Abī al-Bayān
Dāwūd ibn Marwān al-Muqammiṣ,Dāwūd ibn Marwān al-Muqammiṣ
Daʾūd,Daʾūd
Daʾūd (probably muqaddam of Bilbays),Daʾūd (probably muqaddam of Bilbays)
Daʾūd b. Azhar,Daʾūd b. Azhar
Daʾūd b. Naḥum,Daʾūd b. Naḥum
Daʾūd b. Naḥum b. Ḥakmūn,Daʾūd b. Naḥum b. Ḥakmūn
"Daʾūd, the muqaddam of Bilbays","Daʾūd, the muqaddam of Bilbays"
Daʿūd Fasī,Daʿūd Fasī
Donna Sarah,Donna Sara
Dunaš b. Labraṭ,Dunash b. Labraṭ
Dunaš b. Labrāṭ,Dunash b. Labrāṭ
Dunaš ha-Levi b. Labraṭ,Dunash ha-Levi b. Labraṭ
"Dunaš Ibn Labrāṭ, wife of","Dunash Ibn Labrāṭ, wife of"
Eldad b. Maḥlī ha-Dani,Eldad b. Maḥlī ha-Dani
Elḥanan b. ha-Rav,Elḥanan b. ha-Rav
Elḥanan b. Šemarya,Elḥanan b. Shemarya
Elḥanan b. Šemarya (Yaḥyā b. Šemarya),Elḥanan b. Shemarya (Yaḥyā b. Shemarya)
Eli b. Abraham,Eli b. Avraham
Eli b. Amram,Eli b. ʿAmram
Elijah,Eliyyahu
Elijah b. Caleb b. Leon,Eliyyahu b. Kalev b. Leon
Elijah b. Ḵalaf,Eliyyahu b. Khalaf
Elijah b. Nissim,Eliyyahu b. Nissim
Elijah b. Solomon Gaʾon,Eliyyahu b. Shelomo Gaʾon
Elijah b. Zechariah (judge),Eliyyahu b. Zekharya (judge)
Elijah b. Zechariah (possibly Elijah the judge),Eliyyahu b. Zekharya (possibly Eliyyahu the judge)
Elijah Baḥor,Eliyyahu Baḥor
Elijah ha-Kohen b. Solomon Gaʾon,Eliyyahu ha-Kohen b. Shelomo Gaʾon
Elijah the judge,Eliyyahu the judge
Eliyahu b. Aaron he-Ḥaver b. Josiah Av Bet Din,Eliyyahu b. Aharon he-Ḥaver b. Yoshiyyahu Av Bet Din
Elʿazar b. [...],Elʿazar b. [...]
Elʿazar b. Abraham b. Elišaʿ,Elʿazar b. Avraham b. Elishaʿ
Elʿazar b. Ahuv,Elʿazar b. Ahuv
Elʿazar b. Ḥalfon,Elʿazar b. Ḥalfon
Elʿazar b. Jacob ha-Bavli,Elʿazar b. Yaʿaqov ha-Bavli
Elʿazar b. Joseph,Elʿazar b. Yosef
Elʿazar b. Qillir,Elʿazar b. Qillir
Elʿazar ha-Kohen b. Judah,Elʿazar ha-Kohen b. Yehuda
Elʿazar ha-Kohen b. Solomon,Elʿazar ha-Kohen b. Shelomo
Elʿazar ha-Qallir,Elʿazar ha-Qallir
Elʿazar Qallir,Elʿazar Qallir
Elʿazar the cantor b. Abraham,Elʿazar the cantor b. Avraham
Ephraim,Efrayim
Ephraim 'the Ḥaver in the Great Sanhedrin' b. Šemariah,Efrayim 'the Ḥaver in the Great Sanhedrin' b. Shemariah
Ephraim b. Hillel,Efrayim b. Hillel
Ephraim b. Isaac,Efrayim b. Yiṣḥaq
Ephraim b. Isḥāq (silversmith),Efrayim b. Isḥāq (silversmith)
Ephraim b. Ismaʿīl al-Jawharī,Efrayim b. Ismaʿīl al-Jawharī
Ephraim b. Jacob,Efrayim b. Yaʿaqov
Ephraim b. Maymūn,Efrayim b. Maymūn
Ephraim b. Saʿīd,Efrayim b. Saʿīd
Ephraim b. Šemarya,Efrayim b. Shemarya
Ephraim b. Sulaymān,Efrayim b. Sulaymān
Ephraim ibn Ḥasan ibn Isḥāq ibn Ibrāhīm al-Isrāʾīlī,Efrayim ibn Ḥasan ibn Isḥāq ibn Ibrāhīm al-Isrāʾīlī
Esther,Ester
Evyatar ha-Gaʾon b. Elijah,Evyatar ha-Gaʾon b. Eliyyahu
Ezekiel,Yeḥezqel
Ezekiel b. Ibrahim,Yeḥezqel b. Ibrahim
Ezekiel b. Nathan,Yeḥezqel b. Natan
Ezekiel b. Nathaniel,Yeḥezqel b. Nataniel
Ezekiel b. Nathaniel al-Dimyāṭī,Yeḥezqel b. Nataniel al-Dimyāṭī
Ezekiel ha-Kohen al-Danūrī b. ʿAlī,Yeḥezqel ha-Kohen al-Danūrī b. ʿAlī
Ezekiel ha-Levi b. Nathaniel,Yeḥezqel ha-Levi b. Nataniel
Ezra,Ezra
Ezra b. Hillel,Ezra b. Hillel
Faraḥ b. Ismaʿīl,Faraḥ b. Ismaʿīl
Faraḥ b. Ismaʿīl b. Faraḥ,Faraḥ b. Ismaʿīl b. Faraḥ
Faraḥ b. Joseph,Faraḥ b. Yosef
Faraḥ b. Joseph b. Faraḥ,Faraḥ b. Yosef b. Faraḥ
Faraj (emancipated slave of Barhūn Tahertī),Faraj (emancipated slave of Barhūn Tahertī)
Faraj b. Manṣūr,Faraj b. Manṣūr
Faraj the cantor,Faraj the cantor
Fuḍayl Abū l-Ḥasan,Fuḍayl Abū l-Ḥasan
Futūḥ the cantor,Futūḥ the cantor
Gabriel חפז,Gabriel חפז
Galen,Galen
Gaʾon Josiah b. Aaron,Gaʾon Yoshiyyahu b. Aharon
Gaʾon Samuel b. Ḥofni,Gaʾon Shemuʾel b. Ḥofni
Gaʾon Samuel b. ʿEli,Gaʾon Shemuʾel b. ʿEli
Gaʾon Sar Šalom ha-Levi b. Moses,Gaʾon Sar Shalom ha-Levi b. Moshe
Gaʾon Sar Šalom ha-Levi b. Moses b. Nathaniel,Gaʾon Sar Shalom ha-Levi b. Moshe b. Nataniel
Gaʾon Solomon b. Judah,Gaʾon Shelomo b. Yehuda
Geršom b. Judah,Gershom b. Yehuda
Hadutahu,Hadutahu
Hai Gaʾon,Hai Gaʾon
Ḥalfon,Ḥalfon
Ḥalfon b. Isaac,Ḥalfon b. Yiṣḥaq
Ḥalfon b. Maḍmūn,Ḥalfon b. Maḍmūn
Ḥalfon b. Manasseh,Ḥalfon b. Menashshe
Ḥalfon b. Nathaniel,Ḥalfon b. Nataniel
Halfon b. Nathaniel ha-Levi,Halfon b. Nataniel ha-Levi
Ḥalfon ha-Kohen b. Judah ha-Kohen,Ḥalfon ha-Kohen b. Yehuda ha-Kohen
Ḥalfon the cantor b. David,Ḥalfon the cantor b. David
Ḥananel b. Ḥušiʾel,Ḥananel b. Ḥushiʾel
Ḥananel b. Jacob ha-Dayyan,Ḥananel b. Yaʿaqov ha-Dayyan
Ḥananel b. Samuel,Ḥananel b. Shemuʾel
Ḥananel b. Samuel (judge),Ḥananel b. Shemuʾel (judge)
Hananel b. Samuel ha-Dayyan,Hananel b. Shemuʾel ha-Dayyan
Ḥananel b. Samuel ha-Dayyan,Ḥananel b. Shemuʾel ha-Dayyan
Ḥananya b. Judah,Ḥananya b. Yehuda
Ḥananya ha-Kohen (Av Bet Din),Ḥananya ha-Kohen (Av Bet Din)
Ḥananʾel b. Ḥušiʾel,Ḥananʾel b. Ḥushiʾel
Ḥanina b. Dosa,Ḥanina b. Dosa
Harūn b. Bunyām,Harūn b. Bunyām
Hārūn b. Joseph al-Ḡazzāl,Hārūn b. Yosef al-Ghazzāl
Ḥasan b. Mu’ammal,Ḥasan b. Mu’ammal
Ḥasan b. Sahl,Ḥasan b. Sahl
Ḥasday b. Mevoraḵ b. Mordechai,Ḥasday b. Mevorakh b. Mordekhay
Ḥassūn b. Isaac,Ḥassūn b. Yiṣḥaq
Ḥassun b. Isaac al-Ḵawlānī,Ḥassun b. Yiṣḥaq al-Khawlānī
Ḥassūn b. Isaac al-Ḵawlānī,Ḥassūn b. Yiṣḥaq al-Khawlānī
Ḥassūn b. Yaʿīš,Ḥassūn b. Yaʿīsh
Hayfā bint Sulaymān,Hayfā bint Sulaymān
Ḥayyim b. Emmanuel b. Qayyoma,Ḥayyim b. ʿImanuʾel b. Qayyoma
Ḥayyim b. Emmanuel Ibn Qayyūma,Ḥayyim b. ʿImanuʾel Ibn Qayyūma
Ḥayyim b. Immanuel b. Qayoma,Ḥayyim b. ʿImanuʾel b. Qayoma
Hayyim b. ʿAmmar,Hayyim b. ʿAmmar
Ḥayyim b. ʿEli ha-Kohen b. Ḥayyim,Ḥayyim b. ʿEli ha-Kohen b. Ḥayyim
Ḥayyūj,Ḥayyūj
Head of Minyat Ḡamr,Head of Minyat Ghamr
Ḥefeṣ b. Yaṣliaḥ,Ḥefeṣ b. Yaṣliaḥ
Hezekiah b. David (Exilarch),Ḥizqiyyahu b. David (Exilarch)
